Title,Year,Runtime (mins),IMDb Rating,IMDb Votes,Box Office ($),Age Rating,Google Interest
The Age of Adaline,2015,112,7.2,212877,42629776,PG-13,1.1394101876675604
Friends with Kids,2011,107,6.1,43369,7251073,R,0.3522693116922152
Girls Trip,2017,122,6.2,41464,115171585,R,2.4404761904761907
The Art of the Steal,2013,90,6.3,26330,64065,R,0.08511806699615596
Macbeth,2015,113,6.6,60210,1110707,R,0.8286432160804019
London Has Fallen,2016,99,5.9,174344,62524260,R,2.6249999999999996
Anthropoid,2016,120,7.2,55712,2964845,R,0.33681462140992163
A Quiet Place,2018,90,7.5,620408,188024361,PG-13,2.05720823798627
God's Not Dead 2,2016,120,4.3,13832,20774575,PG,0.5415492957746478
Hamlet 2,2008,92,6.3,17453,4886216,R,0.10965715781209107
Ashby,2015,100,6.4,16349,4631,R,0.35077616424636954
Middle Men,2009,105,6.8,38590,754301,R,0.35037674919268036
Ginger & Rosa,2012,90,6.2,11877,1012973,PG-13,0.0009578544061302683
Hotel Transylvania 3: Summer Vacation,2018,97,6.3,90465,167510016,PG,0.056958128078817734
Song to Song,2017,129,5.6,23002,443684,R,7.840080971659919
The Art of Self-Defense,2019,104,6.6,41578,2410914,R,0.0407673860911271
Ninja Assassin,2009,99,6.3,76573,38122883,R,1.2372322899505765
Mechanic: Resurrection,2016,98,5.7,96852,21218403,R,1.1042471042471043
The Hunting Party,2007,101,6.8,26288,969869,R,0.12858249419054996
Certain Women,2016,107,6.4,16105,1087585,R,0.047658175842235
The Post,2017,116,7.2,165772,81903458,PG-13,2.3205128205128207
Now You See Me 2,2016,129,6.4,333462,65075540,PG-13,4.13235294117647
Bedtime Stories,2008,99,6.0,102992,110101975,PG,1.150313152400835
Saving Mr. Banks,2013,125,7.5,172080,83301580,PG-13,0.15121806298276885
Elegy,2008,112,6.7,23406,3581642,R,0.4852173913043478
Welcome to Marwen,2018,116,6.2,26683,10763520,PG-13,0.3329820864067439
Berberian Sound Studio,2012,92,6.2,17777,38493,Not Rated,0.0012531328320802004
Frankenweenie,2012,87,6.9,120955,35291068,PG,0.4958471760797342
Unknown,2011,113,6.8,271966,63686397,PG-13,3.745874587458746
Power Rangers,2017,124,5.9,116053,85364450,PG-13,8.584615384615386
Moonrise Kingdom,2012,94,7.8,371931,45512466,PG-13,0.8692380056444025
Let Me In,2010,116,7.1,129885,12134935,R,1.511085180863477
Brightburn,2019,90,6.1,111355,17300439,R,0.9228070175438596
Alpha,2018,96,6.6,68140,35857181,PG-13,3.0144927536231885
Love the Coopers,2015,107,5.8,28112,26302731,PG-13,0.8213836477987421
The Turning,2020,94,3.9,16723,15472775,PG-13,0.732423924449108
The Tree of Life,2011,139,6.8,186565,13303319,PG-13,1.4277912621359223
Red Dawn,2012,93,5.3,82006,44806783,PG-13,1.4646464646464645
The Last Song,2010,107,6.0,93589,62950384,PG,4.078189300411523
One Chance,2013,103,6.8,13318,101196,PG-13,0.6905138339920949
Stronger,2017,119,6.9,50936,4211129,R,0.797860962566845
Freaks of Nature,2015,92,5.9,13813,70958,R,0.10653875284019187
Shame,2011,101,7.2,210180,3909002,NC-17,2.006088280060883
Bride Wars,2009,89,5.5,117655,58715510,PG,0.8731481481481481
How Do You Know,2010,121,5.4,55643,30212620,PG-13,1.6838340486409156
Land of the Lost,2009,102,5.3,76725,49438370,PG-13,0.8301075268817205
He's Just Not That Into You,2009,129,6.4,186823,93953653,PG-13,0.0030181086519114686
Rush Hour 3,2007,91,6.2,189761,140125968,PG-13,0.808092485549133
Before I Go to Sleep,2014,92,6.3,85974,3242457,R,0.6595394736842105
Chernobyl Diaries,2012,86,5.0,69450,18119640,R,0.4905251759610179
If Beale Street Could Talk,2018,119,7.1,53420,14915773,R,0.38915375446960665
Good Kill,2014,102,6.4,25169,316472,R,0.3066271018793274
Semi-Pro,2008,91,5.8,87055,33479698,R,0.23144424131627056
A Hidden Life,2019,174,7.4,29539,1730597,PG-13,0.15397775876817793
National Treasure: Book of Secrets,2007,124,6.5,259750,219964115,PG,0.24136069114470843
Awake,2007,84,6.5,82099,14377198,R,1.3453996983408747
